NBA 1960s PLAYER DATABASE
Coverage: 1960-61 through 1969-70
Stats are team-specific decade averages.

========================================================================
Hawks (ATL) — 63 players
========================================================================
42. Rick Weitzman | SG | 1.3 PPG | 0.4 RPG | 0.3 APG | 25 GP | Seasons: 1968
43. Bevo Nordmann | C | 2.0 PPG | 2.7 RPG | 1.0 APG | 3 GP | Seasons: 1965
44. Bud Olsen | PF | 2.0 PPG | 2.0 RPG | 0.6 APG | 7 GP | Seasons: 1969
45. Gerry Ward | SG | 1.7 PPG | 1.7 RPG | 2.0 APG | 3 GP | Seasons: 1965

========================================================================
Bulls (CHI) — 26 players
========================================================================
1. Bob Boozer | PF | 20.4 PPG | 8.7 RPG | 1.6 APG | 236 GP | Seasons: 1967-1969
2. Jerry Sloan* | SG | 15.9 PPG | 8.2 RPG | 2.9 APG | 235 GP | Seasons: 1967-1969
3. Jim Washington | C | 11.4 PPG | 9.0 RPG | 1.1 APG | 239 GP | Seasons: 1967-1969
4. Barry Clemens | SF | 8.1 PPG | 4.2 RPG | 1.2 APG | 213 GP | Seasons: 1967-1969
5. Clem Haskins | PG | 13.1 PPG | 3.8 RPG | 3.0 APG | 155 GP | Seasons: 1968-1969
6. Guy Rodgers* | PG | 17.6 PPG | 4.2 RPG | 11.0 APG | 85 GP | Seasons: 1967-1968
7. Erwin Mueller | PF | 8.6 PPG | 5.1 RPG | 2.0 APG | 167 GP | Seasons: 1967-1969
8. McCoy McLemore | SF | 10.9 PPG | 5.2 RPG | 1.2 APG | 155 GP | Seasons: 1967-1968
9. Flynn Robinson | PG | 16.6 PPG | 3.7 RPG | 3.0 APG | 91 GP | Seasons: 1968-1969
10. Keith Erickson | SF | 10.0 PPG | 4.9 RPG | 2.5 APG | 154 GP | Seasons: 1967-1968
11. Tom Boerwinkle | C | 9.8 PPG | 11.1 RPG | 2.2 APG | 80 GP | Seasons: 1969
12. Don Kojis | SF | 10.2 PPG | 6.1 RPG | 0.9 APG | 78 GP | Seasons: 1967
13. Dave Newmark | C | 5.6 PPG | 4.3 RPG | 0.7 APG | 81 GP | Seasons: 1969
14. Jim Barnes | PF | 7.9 PPG | 5.0 RPG | 0.6 APG | 47 GP | Seasons: 1968-1969
15. Bob Weiss | PG | 6.6 PPG | 2.2 RPG | 2.8 APG | 62 GP | Seasons: 1969
16. Gerry Ward | SG | 4.2 PPG | 2.4 RPG | 1.7 APG | 76 GP | Seasons: 1967
17. Dave Schellhase | PG | 2.8 PPG | 1.0 RPG | 0.8 APG | 73 GP | Seasons: 1967-1968
18. George Wilson | C | 4.6 PPG | 3.8 RPG | 0.3 APG | 43 GP | Seasons: 1967
19. Bob Love | PF | 5.1 PPG | 2.5 RPG | 0.4 APG | 35 GP | Seasons: 1969
20. Reggie Harding | C | 4.6 PPG | 6.7 RPG | 1.3 APG | 14 GP | Seasons: 1968
21. Loy Petersen | SG | 2.8 PPG | 1.1 RPG | 0.7 APG | 38 GP | Seasons: 1969
22. Len Chappell | PF | 4.9 PPG | 2.0 RPG | 0.6 APG | 19 GP | Seasons: 1967
23. Ken Wilburn | SF | 2.6 PPG | 1.9 RPG | 0.4 APG | 7 GP | Seasons: 1968-1969
24. Nate Bowman | C | 2.4 PPG | 3.1 RPG | 0.2 APG | 9 GP | Seasons: 1967
25. Craig Spitzer | C | 1.8 PPG | 2.4 RPG | 0.0 APG | 10 GP | Seasons: 1968
26. Jim Burns | SG | 1.3 PPG | 0.7 RPG | 0.3 APG | 3 GP | Seasons: 1968

========================================================================
Pistons (DET) — 63 players
========================================================================
1. Bailey Howell* | SF | 21.1 PPG | 11.8 RPG | 2.3 APG | 387 GP | Seasons: 1960-1964
2. Dave DeBusschere* | SF | 16.1 PPG | 11.2 RPG | 2.6 APG | 440 GP | Seasons: 1963-1969
3. Eddie Miles | SG | 15.1 PPG | 3.3 RPG | 2.2 APG | 453 GP | Seasons: 1964-1969
4. Ray Scott | PF | 16.0 PPG | 10.7 RPG | 2.7 APG | 421 GP | Seasons: 1962-1967
5. Gene Shue | PG | 21.5 PPG | 4.8 RPG | 5.5 APG | 233 GP | Seasons: 1960-1962
6. Dave Bing* | PG | 23.5 PPG | 4.7 RPG | 5.9 APG | 236 GP | Seasons: 1967-1969
7. Bob Ferry | C | 12.3 PPG | 6.3 RPG | 1.7 APG | 312 GP | Seasons: 1961-1964
8. Don Ohl | SG | 16.7 PPG | 3.1 RPG | 3.4 APG | 307 GP | Seasons: 1961-1964
9. Jackie Moreland | PF | 7.7 PPG | 5.1 RPG | 1.2 APG | 348 GP | Seasons: 1961-1965
10. Terry Dischinger | SF | 13.5 PPG | 5.5 RPG | 1.7 APG | 233 GP | Seasons: 1965-1969
11. Walter Dukes | C | 10.2 PPG | 11.1 RPG | 1.4 APG | 278 GP | Seasons: 1960-1963
12. Joe Strawder | C | 8.6 PPG | 9.9 RPG | 1.1 APG | 231 GP | Seasons: 1966-1968
13. Willie Jones | PG | 7.4 PPG | 2.8 RPG | 2.0 APG | 272 GP | Seasons: 1961-1965
14. John Tresvant | PF | 10.6 PPG | 7.7 RPG | 1.6 APG | 169 GP | Seasons: 1966-1968
15. Tom Van Arsdale | SG | 10.2 PPG | 3.8 RPG | 2.3 APG | 208 GP | Seasons: 1966-1968
16. Reggie Harding | C | 9.3 PPG | 9.3 RPG | 1.7 APG | 191 GP | Seasons: 1964-1967
17. Happy Hairston | PF | 18.3 PPG | 11.4 RPG | 1.4 APG | 107 GP | Seasons: 1968-1969
18. Shellie McMillon | SF | 9.1 PPG | 5.9 RPG | 0.9 APG | 167 GP | Seasons: 1960-1962
19. George Lee | SF | 9.8 PPG | 5.6 RPG | 1.0 APG | 149 GP | Seasons: 1961-1962
20. Jimmy Walker | SG | 10.1 PPG | 1.9 RPG | 3.0 APG | 150 GP | Seasons: 1968-1969
21. Walt Bellamy* | C | 18.8 PPG | 13.5 RPG | 1.9 APG | 53 GP | Seasons: 1969
22. Donnie Butcher | PG | 7.0 PPG | 3.6 RPG | 2.4 APG | 138 GP | Seasons: 1964-1966
23. Chuck Noble | SG | 7.5 PPG | 2.7 RPG | 3.9 APG | 159 GP | Seasons: 1960-1962
24. Rod Thorn | SG | 11.8 PPG | 3.6 RPG | 2.2 APG | 101 GP | Seasons: 1965-1966
25. Johnny Egan | PG | 6.7 PPG | 1.6 RPG | 2.6 APG | 128 GP | Seasons: 1962-1964
26. Archie Dees | PF | 8.4 PPG | 4.9 RPG | 0.6 APG | 101 GP | Seasons: 1960-1961
27. Joe Caldwell | SF | 10.7 PPG | 6.4 RPG | 1.8 APG | 99 GP | Seasons: 1965-1966
28. Don Kojis | SF | 6.9 PPG | 4.0 RPG | 0.8 APG | 125 GP | Seasons: 1965-1966
29. Ron Reed | PF | 8.0 PPG | 6.4 RPG | 1.5 APG | 119 GP | Seasons: 1966-1967
30. Dick McGuire* | PG | 7.1 PPG | 3.9 RPG | 5.3 APG | 68 GP | Seasons: 1960
31. Howard Komives | PG | 12.9 PPG | 3.8 RPG | 5.0 APG | 53 GP | Seasons: 1969
32. Len Chappell | C | 10.0 PPG | 6.1 RPG | 0.8 APG | 57 GP | Seasons: 1968
33. Ed Conlin | SG | 11.2 PPG | 4.9 RPG | 1.8 APG | 70 GP | Seasons: 1960
34. Chico Vaughn | SG | 5.7 PPG | 1.5 RPG | 2.0 APG | 88 GP | Seasons: 1966-1967
35. Darrall Imhoff | C | 3.9 PPG | 4.3 RPG | 0.8 APG | 103 GP | Seasons: 1963-1964
36. Otto Moore | C | 7.7 PPG | 7.1 RPG | 0.9 APG | 74 GP | Seasons: 1969
37. Earl Lloyd* | SF | 8.9 PPG | 4.7 RPG | 1.3 APG | 68 GP | Seasons: 1960
38. Kevin Loughery | SG | 6.3 PPG | 1.9 RPG | 1.8 APG | 58 GP | Seasons: 1963-1964
39. Bill Buntin | C | 7.7 PPG | 6.0 RPG | 0.9 APG | 42 GP | Seasons: 1966
40. Jim Fox | C | 4.5 PPG | 5.6 RPG | 0.8 APG | 49 GP | Seasons: 1968-1969
41. McCoy McLemore | SF | 7.3 PPG | 4.7 RPG | 0.9 APG | 50 GP | Seasons: 1969
42. John Barnhill | PG | 7.5 PPG | 2.5 RPG | 2.5 APG | 45 GP | Seasons: 1966
43. Bob Duffy | PG | 5.0 PPG | 1.3 RPG | 1.7 APG | 46 GP | Seasons: 1964-1965
44. Wayne Hightower | PF | 8.6 PPG | 5.7 RPG | 1.0 APG | 29 GP | Seasons: 1967
45. Hub Reed | C | 3.4 PPG | 3.3 RPG | 0.6 APG | 62 GP | Seasons: 1965
46. Sonny Dove | PF | 3.1 PPG | 2.0 RPG | 0.4 APG | 57 GP | Seasons: 1968-1969
47. Gary Alcorn | C | 4.0 PPG | 4.8 RPG | 0.4 APG | 58 GP | Seasons: 1960
48. George Patterson | C | 2.0 PPG | 2.7 RPG | 0.9 APG | 59 GP | Seasons: 1968
49. Dave Gambee | SF | 6.8 PPG | 3.1 RPG | 0.6 APG | 25 GP | Seasons: 1969
50. Billy Kenville | SG | 5.1 PPG | 2.8 RPG | 1.8 APG | 25 GP | Seasons: 1960
51. Larry Staverman | PF | 5.7 PPG | 3.5 RPG | 0.6 APG | 20 GP | Seasons: 1964
52. Barney Cable | PF | 6.9 PPG | 6.9 RPG | 0.9 APG | 7 GP | Seasons: 1960
53. Dorie Murrey | PF | 2.8 PPG | 2.9 RPG | 0.3 APG | 35 GP | Seasons: 1967
54. Tony Windis | PG | 4.0 PPG | 5.2 RPG | 3.6 APG | 9 GP | Seasons: 1960
55. Paul Long | SG | 3.6 PPG | 0.9 RPG | 0.8 APG | 16 GP | Seasons: 1968
56. Rich Niemann | C | 3.0 PPG | 2.6 RPG | 0.6 APG | 16 GP | Seasons: 1969
57. Ron Johnson | SF | 5.2 PPG | 2.3 RPG | 0.2 APG | 6 GP | Seasons: 1961
58. Danny Doyle | PF | 4.0 PPG | 2.0 RPG | 0.8 APG | 4 GP | Seasons: 1963
59. Bob Warlick | SG | 2.4 PPG | 1.6 RPG | 1.0 APG | 10 GP | Seasons: 1966
60. Bud Olsen | PF | 2.0 PPG | 1.1 RPG | 0.7 APG | 10 GP | Seasons: 1969
61. George Carter | SF | 3.0 PPG | 0.0 RPG | 1.0 APG | 1 GP | Seasons: 1968
62. Bob Hogsett | PF | 2.3 PPG | 0.4 RPG | 0.1 APG | 7 GP | Seasons: 1967
63. Cliff Williams | SG | 1.3 PPG | 1.0 RPG | 0.7 APG | 3 GP | Seasons: 1969

========================================================================
Warriors (GSW) — 56 players
========================================================================
1. Wilt Chamberlain* | C | 41.5 PPG | 25.1 RPG | 3.0 APG | 429 GP | Seasons: 1960-1965
2. Al Attles | PG | 9.5 PPG | 3.7 RPG | 3.6 APG | 632 GP | Seasons: 1961-1969
3. Guy Rodgers* | PG | 13.0 PPG | 5.0 RPG | 8.5 APG | 542 GP | Seasons: 1960-1966
4. Nate Thurmond* | C | 16.4 PPG | 17.9 RPG | 2.4 APG | 413 GP | Seasons: 1964-1969
5. Tom Meschery | PF | 12.9 PPG | 8.5 RPG | 1.5 APG | 455 GP | Seasons: 1962-1967
6. Paul Arizin* | SF | 22.5 PPG | 8.0 RPG | 2.4 APG | 229 GP | Seasons: 1960-1962
7. Rick Barry* | SF | 30.6 PPG | 9.9 RPG | 2.9 APG | 158 GP | Seasons: 1966-1967
8. Tom Gola* | SG | 14.2 PPG | 9.6 RPG | 4.6 APG | 230 GP | Seasons: 1960-1963
9. Jeff Mullins | SG | 18.2 PPG | 5.5 RPG | 3.9 APG | 234 GP | Seasons: 1967-1969
10. Rudy LaRusso | PF | 21.3 PPG | 8.9 RPG | 2.2 APG | 154 GP | Seasons: 1968-1969
11. Clyde Lee | C | 9.9 PPG | 11.7 RPG | 1.3 APG | 221 GP | Seasons: 1967-1969
12. Fred Hetzel | SF | 13.2 PPG | 7.0 RPG | 1.3 APG | 210 GP | Seasons: 1966-1968
13. Paul Neumann | PG | 13.5 PPG | 3.2 RPG | 3.4 APG | 180 GP | Seasons: 1965-1967
14. Gary Phillips | SG | 7.3 PPG | 2.8 RPG | 2.1 APG | 281 GP | Seasons: 1963-1966
15. Jim King | PG | 11.9 PPG | 4.1 RPG | 3.5 APG | 167 GP | Seasons: 1967-1969
16. Wayne Hightower | PF | 10.1 PPG | 6.0 RPG | 1.2 APG | 193 GP | Seasons: 1963-1965
17. Joe Ellis | SF | 7.8 PPG | 4.7 RPG | 1.2 APG | 166 GP | Seasons: 1967-1969
18. McCoy McLemore | SF | 7.8 PPG | 6.2 RPG | 0.9 APG | 158 GP | Seasons: 1965-1966
19. Andy Johnson | PF | 8.9 PPG | 4.1 RPG | 2.3 APG | 154 GP | Seasons: 1960-1961
20. George Lee | SF | 5.1 PPG | 2.7 RPG | 0.7 APG | 148 GP | Seasons: 1963-1968
21. Joe Graboski | PF | 7.3 PPG | 4.4 RPG | 1.3 APG | 141 GP | Seasons: 1960-1961
22. Bill Turner | SF | 6.5 PPG | 4.4 RPG | 0.7 APG | 121 GP | Seasons: 1968-1969
23. Ed Conlin | SF | 5.8 PPG | 2.8 RPG | 1.4 APG | 147 GP | Seasons: 1961-1962
24. Kenny Sears | SF | 4.8 PPG | 2.2 RPG | 0.9 APG | 105 GP | Seasons: 1963-1964
25. Vern Hatton | SG | 4.5 PPG | 2.1 RPG | 1.2 APG | 121 GP | Seasons: 1960-1961
26. Bob Warlick | SG | 8.0 PPG | 3.5 RPG | 2.1 APG | 81 GP | Seasons: 1967-1968
27. Joe Ruklick | PF | 3.5 PPG | 2.5 RPG | 0.4 APG | 114 GP | Seasons: 1960-1962
28. Bobby Lewis | SG | 4.7 PPG | 1.7 RPG | 1.1 APG | 103 GP | Seasons: 1968-1969
29. Ron Williams | PG | 7.8 PPG | 2.4 RPG | 3.3 APG | 75 GP | Seasons: 1969
30. Bud Olsen | PF | 3.9 PPG | 3.0 RPG | 0.5 APG | 95 GP | Seasons: 1966-1967
31. Willie Naulls | SF | 11.0 PPG | 6.7 RPG | 1.2 APG | 47 GP | Seasons: 1963
32. Woody Sauldsberry | PF | 9.9 PPG | 6.3 RPG | 1.6 APG | 71 GP | Seasons: 1960
33. Gary Hill | SG | 4.9 PPG | 1.7 RPG | 1.4 APG | 76 GP | Seasons: 1964-1965
34. Ted Luckenbill | PF | 2.3 PPG | 1.9 RPG | 0.4 APG | 87 GP | Seasons: 1962-1963
35. Connie Dierking | C | 8.0 PPG | 6.5 RPG | 1.0 APG | 30 GP | Seasons: 1965
36. Ernie Beck | SG | 3.9 PPG | 1.9 RPG | 1.1 APG | 66 GP | Seasons: 1960
37. Dale Schlueter | C | 5.8 PPG | 7.0 RPG | 1.0 APG | 31 GP | Seasons: 1969
38. York Larese | SG | 5.4 PPG | 1.4 RPG | 1.7 APG | 51 GP | Seasons: 1962
39. Bud Koper | SG | 4.6 PPG | 1.1 RPG | 0.8 APG | 54 GP | Seasons: 1965
40. Keith Erickson | SF | 3.6 PPG | 2.5 RPG | 0.6 APG | 64 GP | Seasons: 1966
41. Howie Montgomery | SF | 7.2 PPG | 3.5 RPG | 1.1 APG | 20 GP | Seasons: 1963
42. John Rudometkin | SF | 6.0 PPG | 4.2 RPG | 0.7 APG | 22 GP | Seasons: 1965
43. Dave Lattin | PF | 2.2 PPG | 2.4 RPG | 0.3 APG | 44 GP | Seasons: 1968
44. Bob McNeill | PG | 4.1 PPG | 1.6 RPG | 2.3 APG | 21 GP | Seasons: 1962
45. Barry Kramer | SF | 3.1 PPG | 1.8 RPG | 0.8 APG | 33 GP | Seasons: 1965
46. Cotton Nash | SF | 4.2 PPG | 2.4 RPG | 0.5 APG | 20 GP | Seasons: 1965
47. Frank Radovich | SF | 2.4 PPG | 1.4 RPG | 0.1 APG | 37 GP | Seasons: 1962
48. Hubie White | SG | 3.2 PPG | 1.2 RPG | 1.0 APG | 29 GP | Seasons: 1963
